2025-04-14 13:46:48,998 - Client ID: DotnetPublisherfc2e4df6-85f3-4fc2-ba27-76f0e5d721be, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2025-04-14 13:46:49,011 - Client ID: DotnetPublisher6ba4c645-4bf6-4839-bf1a-463c92376f6d, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2025-04-14 13:46:49,023 - Client ID: DotnetPublisher2ff3db72-eeca-4915-9530-8bf860570b62, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2025-04-14 13:46:49,037 - Client ID: DotnetPublisher71f90703-65dd-464b-ae38-c7d2e6d41321, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2025-04-14 13:46:49,044 - Client ID: DotnetPublisherf93f47ef-aa0c-4f0c-a28c-df9f36c87e8f, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2025-04-14 13:46:53,334 - Client ID: RawSubscriber, IP: 172.17.0.1, Clean Start: false, Session Expiry: 0 connected.
2025-04-14 13:46:57,435 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,439 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,439 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,439 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,439 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,439 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,440 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,451 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,461 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,462 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,582 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,583 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,583 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,584 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,585 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,587 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,588 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,639 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,640 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,641 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,643 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,643 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,644 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,645 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,645 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,645 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,646 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,647 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,648 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,649 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,650 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,651 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,651 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,651 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,652 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,652 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,652 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,652 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,652 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,653 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,653 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,653 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,653 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,654 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,653 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,655 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,656 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,656 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2025-04-14 13:46:57,656 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
