2024-12-16 07:17:32,176 - Client ID: RawSubscriber_ce_0, IP: 172.17.0.1, Clean Start: false, Session Expiry: 432000 connected.
2024-12-16 07:17:39,951 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,951 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0005, topic: overload/ce/0005, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,951 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0002, topic: overload/ce/0002, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,951 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0001, topic: overload/ce/0001, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0001, topic: overload/ce/0001, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0005, topic: overload/ce/0005, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0002, topic: overload/ce/0002, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0002, topic: overload/ce/0002, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0004, topic: overload/ce/0004, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,953 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0005, topic: overload/ce/0005, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0001, topic: overload/ce/0001, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0002, topic: overload/ce/0002, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0001, topic: overload/ce/0001, qos: 1, reason: The shared subscription message queue is full.
2024-12-16 07:17:39,954 - Outgoing publish message was dropped. Receiving shared subscription group: overloadtest/overload/ce/0003, topic: overload/ce/0003, qos: 1, reason: The shared subscription message queue is full.
